UserID,UserName,Age,Gender,PurchaseAmount,ProductCategory,Rating,LoginFrequency,LastPurchaseDate
1001,User_1,23,Male,899.5,Electronics,4,Weekly,2023-07-15
1002,User_2,31,Female,256.0,Clothing,5,Daily,2023-08-01
1003,User_3,,Male,120.5,Books,3,Monthly,2023-06-20
1004,User_4,45,Female,1999.99,Home,2,Weekly,2023-09-10
1005,User_5,19,Male,-50.0,Sports,4,Daily,2023-05-12
1006,User_6,28,Female,88.8,Electronics,6,Weekly,2023-07-22
1007,User_7,52,Male,450.0,Books,1,Monthly,2023-04-03
1008,User_8,67,Female,320.25,Clothing,0,Weekly,2023-08-18
1009,User_9,25,Male,15000.0,Electronics,5,Daily,2023-09-01
1010,User_10,36,,399.0,Home,4,Monthly,2023-07-30
1011,User_11,16,Male,200.0,Sports,3,Daily,2023-06-15
1012,User_12,72,Female,180.0,Books,5,Weekly,2023-05-28
1013,User_13,29,Male,,Clothing,4,Weekly,2023-08-05
1014,User_14,41,Female,55.5,Sports,2,Daily,2023-07-11
1015,User_15,22,Male,0.01,Electronics,3,Monthly,2023-09-12
1016,User_16,38,Female,760.0,Books,7,Weekly,2023-06-01
1017,User_17,47,Male,210.4,Home,4,Monthly,2023-08-25
1018,User_18,20,Female,99.9,Clothing,5,Daily,2023-07-08
1019,User_19,33,Male,-12.5,Electronics,1,Weekly,2023-05-19
1020,User_20,59,Female,1280.6,Sports,5,Monthly,2023-09-05
1021,User_21,24,Male,45.0,Books,,Daily,2023-07-14
1022,User_22,40,Female,333.3,Home,4,Weekly,2023-08-12
1023,User_23,27,Male,888.0,Electronics,5,Monthly,2023-06-30
1024,User_24,55,Female,12.0,Clothing,3,Daily,2023-09-20
1025,User_25,30,Male,500.0,Sports,4,Weekly,2023-07-01
