实际值	预测值
1	1.0231962649261814
1	1.1188100756511503
1	1.0202297931250786
1	0.9823469311963893
1	1.0745904314920465
1	1.056920233358154
1	1.0421754001136263
1	1.0456248137451554
1	1.0260925457622547
1	0.9889539460983217
1	0.98389317361025
1	1.127551951841943
1	0.9977296566944162
1	1.1565632281420688
1	1.0198324199384419
1	0.9717082331038163
1	1.123452817006306
1	1.0561388198019734
1	0.9864598651797323
1	1.0541446416663498
1	1.0252226757151461
1	0.9918919089278901
1	1.090713181673781
1	1.0651079001519748
1	1.0132999579198674
1	0.9730764028745741
1	0.9889083757625299
1	1.130913273251151
1	1.0872792544857337
1	1.0082555791596008
1	1.0735443654872316
1	1.000691073051738
1	1.002931763748515
1	1.0225369946468197
1	1.1042548266794856
1	1.0541560408328006
1	1.0983992143220602
1	0.9445409947605519
1	1.1244528515963972
1	1.110979295524986
1	0.9728262757165207
1	1.00229140824309
1	1.0131172218717681
1	1.110348402269256
1	1.0751557356203563
2	1.3671684676073192
1	0.9927485089636165
1	1.1100711338838598
1	0.9164120737475943
1	1.1962971600430334
1	1.0013494475640974
1	0.9900372491155521
1	0.8778355583772481
1	1.0694809396854505
1	1.138340420120328
1	0.9650416704558031
1	1.0024628049507112
1	0.994741881228772
2	1.074684629513696
1	0.9814865183518388
1	0.9298865279426051
1	0.9884213023791788
1	1.0672537785408114
1	1.0657155550786659
