SensorID,Timestamp,SensorType,Value,Location,is_abnormal
1,2024-01-01 00:00:00,Light,79.63217053691564,Field3,False
2,2024-01-01 01:00:00,Temperature,0.6450259431536542,Field1,False
3,2024-01-01 02:00:00,SoilPH,94.84965180581636,Field1,False
4,2024-01-01 03:00:00,SoilPH,76.63760609271043,Field1,False
5,2024-01-01 04:00:00,SoilPH,11.79829552623759,Field4,False
6,2024-01-01 05:00:00,Humidity,67.81603903333956,Field4,False
7,2024-01-01 06:00:00,SoilPH,14.948116452139338,Field1,False
8,2024-01-01 07:00:00,SoilMoisture,80.79195734539273,Field2,False
9,2024-01-01 08:00:00,Light,7.02342041410926,Field1,False
10,2024-01-01 09:00:00,Temperature,19.29942346596495,Field4,False
11,2024-01-01 10:00:00,Temperature,54.69525633430117,Field2,True
12,2024-01-01 11:00:00,Light,38.106035263692526,Field2,False
13,2024-01-01 12:00:00,SoilMoisture,35.5489734436766,Field4,False
14,2024-01-01 13:00:00,Humidity,34.86839431544411,Field2,False
15,2024-01-01 14:00:00,Temperature,7.108818684557927,Field4,False
16,2024-01-01 15:00:00,Humidity,15.743110653269865,Field4,False
17,2024-01-01 16:00:00,Humidity,40.26042711037767,Field4,False
18,2024-01-01 17:00:00,Temperature,49.64668019795253,Field3,False
19,2024-01-01 18:00:00,Humidity,3.762732217782927,Field2,False
20,2024-01-01 19:00:00,Light,88.32624719493646,Field1,False
21,2024-01-01 20:00:00,SoilPH,49.61979813125596,Field2,False
22,2024-01-01 21:00:00,Temperature,2.3817426884050863,Field2,False
23,2024-01-01 22:00:00,SoilPH,54.79117255009777,Field4,False
24,2024-01-01 23:00:00,Temperature,72.09334582226587,Field1,True
25,2024-01-02 00:00:00,SoilMoisture,29.526776477057183,Field4,False
26,2024-01-02 01:00:00,SoilPH,81.81714030893036,Field4,False
27,2024-01-02 02:00:00,Temperature,77.90575434100604,Field1,True
28,2024-01-02 03:00:00,Humidity,88.56255738207525,Field2,False
29,2024-01-02 04:00:00,SoilPH,56.95109345192844,Field3,False
30,2024-01-02 05:00:00,SoilPH,37.01375067779728,Field3,False
31,2024-01-02 06:00:00,SoilPH,33.67534732392395,Field4,False
32,2024-01-02 07:00:00,Temperature,2.5452303633292206,Field4,False
33,2024-01-02 08:00:00,Humidity,1.098695651170123,Field2,False
34,2024-01-02 09:00:00,Humidity,4.507928431424569,Field2,False
35,2024-01-02 10:00:00,Humidity,28.438902537943637,Field3,False
36,2024-01-02 11:00:00,Temperature,78.29653446983382,Field1,True
37,2024-01-02 12:00:00,SoilMoisture,8.810912836932506,Field1,False
38,2024-01-02 13:00:00,Light,36.6046455056664,Field4,False
39,2024-01-02 14:00:00,SoilPH,51.24931644931673,Field2,False
